Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.702300	0.000795	-0.000372	0.000049	-0.000375	0.000362	-0.000462	0.000819	0.000024	0.000071	-0.000479	-0.000624
9.701600	0.000281	-0.000460	0.000012	-0.000143	0.000154	0.000466	0.000696	-0.000361	-0.000245	-0.000167	0.000164
9.700900	-0.000186	-0.000620	0.000316	-0.000610	0.000011	-0.000120	-0.000201	-0.000690	-0.000428	-0.000312	-0.000145
9.700200	-0.000566	-0.000295	0.000016	-0.000868	-0.000096	-0.001198	-0.000046	-0.000082	-0.000314	0.000551	-0.000186
9.699500	-0.000532	0.000934	0.000277	-0.000307	-0.000407	-0.000278	0.000420	0.000244	-0.000722	-0.000151	-0.000126
9.698800	-0.000411	0.000524	0.000358	-0.000245	-0.000360	0.000146	0.000416	0.000123	-0.001076	-0.000524	-0.000212
9.698100	0.000475	0.000494	-0.000058	-0.001030	0.000040	-0.000868	0.000198	-0.000299	-0.000993	0.000200	-0.000719
9.697400	0.000745	0.000109	0.000226	-0.000818	-0.000427	-0.000331	-0.000494	0.000240	-0.000712	0.000156	-0.001135
9.696700	0.000176	0.000161	-0.000158	-0.000432	0.000104	0.000397	-0.000450	-0.000921	0.000042	-0.000044	0.000544
9.696000	-0.001026	-0.000319	-0.000318	-0.000339	0.000398	0.000068	-0.001372	-0.000776	0.000826	-0.000466	-0.000108
